Category	Disease	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_FDR
comp22	AD	0.003706848	0.060660125	0.030041277	16.36433965	5.104263728	0.048819513
comp61	AD	0.00593089	0.045071934	0.019400284	7.599523087	3.271057945	0.033582718
comp61	PD	0.00593089	0.077194393	0.067965162	13.01565109	6.459521831	0.019265012
comp140	Autism	0.000826613	-0.002583148	0.001338623	-3.124980701	1.619408511	0.010133646
comp22	Autism	0.003706848	0.019070282	0.007262799	5.144608078	1.95929219	0.03266926
comp343	MS	0.005090104	0.054877972	0.024309174	10.78130666	4.775771619	0.03181387
comp392	MS	0.003906626	0.064435261	0.021219704	16.49384062	5.431721824	0.001911047
comp52	MS	0.003758311	0.04088319	0.017049367	10.87807442	4.536443552	0.024520469
comp82	MS	0.00584973	0.04329693	0.018955184	7.401525874	3.240351805	0.040716673
comp91	MS	0.006524823	0.042379958	0.017008765	6.495189333	2.606778135	0.026846288
comp140	Schizophrenia	0.000826613	0.002753371	0.000853565	3.330909099	1.032605777	0.025313404
comp222	Schizophrenia	0.003904938	0.000141228	0.00146365	0.036166537	0.374820377	0.010230762
comp84	Schizophrenia	0.00078308	-0.001042179	0.000368208	-1.33087178	0.470205134	1.68E-06
comp121	T2D	0.002901496	0.03176492	0.014920058	10.94777328	5.142195093	0.044064258
comp28	T2D	0.004226371	0.024372044	0.007317292	5.766660189	1.731341845	0.003724334
comp319	T2D	0.004809336	0.020579493	0.007989068	4.279071676	1.661158335	0.042707991
comp392	T2D	0.003906626	0.039842839	0.01571487	10.19878598	4.022619897	0.015886278
comp451	T2D	0.006142985	0.034452885	0.014154368	5.608492895	2.3041516	0.035183693
comp121	Lupus	0.002901496	0.021838573	0.008475342	7.526659779	2.921025102	0.038577409
comp170	Lupus	0.003321467	0.012979181	0.004389691	3.907665248	1.321612071	0.020969834
comp215	Lupus	0.005457262	0.026127669	0.007313949	4.787688013	1.340223057	0.006606571
comp22	Lupus	0.003706848	0.021138982	0.008376533	5.702683143	2.25974513	0.028602369
comp281	Lupus	0.006864309	0.030421647	0.010806464	4.431858626	1.574297379	0.02952581
comp34	Lupus	0.005776332	0.018625928	0.006365198	3.224524908	1.101944533	0.029886233
comp353	Lupus	0.005147135	0.031385702	0.00999169	6.09770338	1.94121384	0.005882948
comp403	Lupus	0.001525664	0.012258387	0.004508627	8.03478535	2.955189342	0.013434278
comp419	Lupus	0.006830225	0.055115553	0.020462452	8.069360821	2.995867704	0.018382713
comp91	Lupus	0.006524823	0.044588947	0.01831647	6.833740943	2.807198159	0.041017922
comp93	Lupus	0.005084367	0.021499306	0.006932327	4.228511803	1.363459136	0.011287998
comp121	PBC	0.002901496	0.026995147	0.011509617	9.303872132	3.966787336	0.034419702
comp202	PBC	0.006050183	0.038941294	0.012717832	6.43638325	2.102057541	0.010268839
comp26	PBC	0.004578849	0.027337454	0.011048813	5.970376235	2.41301081	0.04704551
comp392	PBC	0.003906626	0.02974499	0.012489528	7.613985261	3.197011657	0.037090863
comp61	PBC	0.00593089	0.032112445	0.012787623	5.414439568	2.156105278	0.031740082
comp91	PBC	0.006524823	0.030706712	0.012795584	4.706137535	1.961062381	0.048649595
comp28	RA	0.004226371	0.018657128	0.006985611	4.414456031	1.652862856	0.037376247
comp317	RA	0.007216957	0.039917698	0.010427099	5.531098529	1.444805597	0.001519295
comp343	RA	0.005090104	0.018824518	0.006579744	3.69825804	1.292654154	0.03492778
comp82	RA	0.00584973	0.020726675	0.005997176	3.543184692	1.025205593	0.01543417
comp91	RA	0.006524823	0.027880279	0.01059088	4.272955993	1.623167492	0.039088283
comp152	IBD	0.006218576	0.02063287	0.006136881	3.317941307	0.986862702	0.021534263
comp180	IBD	0.003884859	0.015659062	0.005845842	4.030792584	1.50477578	0.048760297
comp201	IBD	0.005728919	0.026092674	0.009221769	4.554554513	1.609687409	0.02480893
comp307	IBD	0.006549963	0.029806292	0.008459495	4.550604415	1.291533231	0.005401951
comp317	IBD	0.007216957	0.029704462	0.009991175	4.115926457	1.384402854	0.021921986
comp319	IBD	0.004809336	0.015572299	0.004932344	3.237931215	1.025576931	0.026543802
comp353	IBD	0.005147135	0.015644805	0.004886833	3.039517195	0.949427862	0.032223789
comp363	IBD	0.004377891	0.019423529	0.007197232	4.436732091	1.643995246	0.034007682
comp371	IBD	0.005128912	0.019267602	0.006419907	3.756664581	1.251709365	0.028833181
comp419	IBD	0.006830225	0.028596487	0.007894872	4.18675597	1.155872889	0.006309803
comp61	IBD	0.00593089	0.022599571	0.007071982	3.810485719	1.192398061	0.014769897
comp180	Crohns	0.003884859	0.016140073	0.005951423	4.15460938	1.531953237	0.038527018
comp202	Crohns	0.006050183	0.020546561	0.006797023	3.396023236	1.123441029	0.029316326
comp317	Crohns	0.007216957	0.038170628	0.012132397	5.289020108	1.681096004	0.010334602
comp319	Crohns	0.004809336	0.019990028	0.005846622	4.156504918	1.215681884	0.008507728
comp353	Crohns	0.005147135	0.017088049	0.005583212	3.319914587	1.084722243	0.033549719
