SNP	PVAL	Disease	COMP	CisGene	TissScores	CompGenes_CompScores	FDR
3:101023748	3e-08	Inflammatory bowel disease	431	SENP7_NA	0.0507588_0.0418261	ACACB_-0.539075\C1QC_-0.440233\CYFIP2_-0.605109\DPYS_-0.410172\FERMT2_-0.473082\FUZ_-0.485142\GLB1L_-0.560918\HKR1_0.994539\ITGB3BP_-0.548062\LDHD_-1.14854\NRBP2_-0.409854\PELI3_-0.398063\PEX6_-0.38135\PSMB9_-0.389307\RASGRF1_-0.391302\SLC41A1_-0.451184\SPRY1_-0.531324\TSPAN9_-0.536339\UCP3_-0.376211\ZFP82_1.11891\ZIK1_1.47045\ZNF135_1.47406\ZNF256_2.39171\ZNF274_1.11407\ZNF30_0.962915\ZNF304_1.12533\ZNF329_2.39492\ZNF415_1.37938\ZNF419_1.1505\ZNF439_1.51578\ZNF543_1.28193\ZNF548_1.66892\ZNF671_2.139\ZNF681_1.23076\ZNF91_0.933963\ZSCAN18_3.42659	2.99227380816559e-10
3:101023748	4e-07	Crohn's disease	431	SENP7_NA	0.0507588_0.0418261	ACACB_-0.539075\C1QC_-0.440233\CYFIP2_-0.605109\DPYS_-0.410172\FERMT2_-0.473082\FUZ_-0.485142\GLB1L_-0.560918\HKR1_0.994539\ITGB3BP_-0.548062\LDHD_-1.14854\NRBP2_-0.409854\PELI3_-0.398063\PEX6_-0.38135\PSMB9_-0.389307\RASGRF1_-0.391302\SLC41A1_-0.451184\SPRY1_-0.531324\TSPAN9_-0.536339\UCP3_-0.376211\ZFP82_1.11891\ZIK1_1.47045\ZNF135_1.47406\ZNF256_2.39171\ZNF274_1.11407\ZNF30_0.962915\ZNF304_1.12533\ZNF329_2.39492\ZNF415_1.37938\ZNF419_1.1505\ZNF439_1.51578\ZNF543_1.28193\ZNF548_1.66892\ZNF671_2.139\ZNF681_1.23076\ZNF91_0.933963\ZSCAN18_3.42659	2.99227380816559e-10
3:134191303	4e-09	Waist circumference adjusted for BMI in active individuals	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.00645268940390232
3:134191303	2e-08	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.00645268940390232
3:134348930	6e-06	Neurocognitive impairment in HIV-1 infection (dichotomous)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0113384453450572
3:134218557	2e-06	Neurocognitive impairment in HIV-1 infection (dichotomous)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0184316662192168
3:134203347	8e-07	Waist circumference adjusted for body mass index	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	2e-11	Waist circumference adjusted for body mass index	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	1e-06	Waist circumference adjusted for body mass index	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	9e-09	Waist circumference adjusted for body mass index	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
